company;job_description;rating;min_salary;max_salary;median_salary;currency;frequency;city
AMBOSS;Data Scientist;4.3;46000;50000;48000;EUR;yearly;Berlin
ENGIE;Data Scientist;3.9;63000;69000;66000;EUR;yearly;Berlin
Storymachine;Data Scientist;3;43000;47000;45000;EUR;yearly;Berlin
NetCheck;Data Scientist;3.8;50000;54000;52000;EUR;yearly;Berlin
Trade Machines FI;Data Scientist;4.5;24;26;25;EUR;hourly;Berlin
Mavuno Technologies;Data Scientist;4;491;526;509;EUR;monthly;Berlin
NTT DATA;Data Scientist;3.8;2000;2000;2000;EUR;monthly;Berlin
Orange Business;Data Scientist;4;74000;81000;78000;EUR;yearly;Berlin
mymoria;Data Scientist;3.2;48000;52000;50000;EUR;yearly;Berlin
SVA System Vertrieb Alexander;Data Scientist;4.3;42000;45000;43000;EUR;yearly;Berlin
Blueground;Data Scientist;3.3;46000;50000;48000;EUR;yearly;Berlin
Contorion;Data Scientist;4.1;65000;70000;68000;EUR;yearly;Berlin
Universal Music Group;Data Scientist;3.7;53000;58000;56000;EUR;yearly;Berlin
Philip Morris International;Data Scientist;4;57000;62000;60000;EUR;yearly;Berlin
A Small Company;Data Scientist;3.7;43000;47000;45000;EUR;yearly;Berlin
AiSight;Data Scientist;5;43000;47000;45000;EUR;yearly;Berlin
Harnham;Data Scientist;3.4;65000;70000;67000;EUR;yearly;Berlin
Universität Potsdam;Data Scientist;3.6;48000;52000;50000;EUR;yearly;Berlin
BOLT;Data Scientist;3.9;87000;94000;91000;EUR;yearly;Berlin
Ankorstore;Data Scientist;3.6;2000;2000;2000;EUR;monthly;Berlin
sprylab technologies;Data Scientist;4.2;3000;3000;3000;EUR;monthly;Berlin
World Wildlife Fund;Data Scientist;3.8;4000;4000;4000;EUR;monthly;Berlin
super.AI;Data Scientist;4.3;1000;2000;2000;EUR;monthly;Berlin
Technische Universität Dresden;Data Scientist;4.3;58000;63000;60000;EUR;yearly;Berlin
eBay;Data Scientist;3.9;87000;94000;90000;EUR;yearly;Berlin
Carmeq;Data Scientist;4.6;2000;2000;2000;EUR;monthly;Berlin
CarOnSale;Data Scientist;3.7;52000;57000;55000;EUR;yearly;Berlin
Porsche;Data Scientist;4.2;67000;72000;70000;EUR;yearly;Berlin
Adevinta;Data Scientist;3.6;65000;71000;68000;EUR;yearly;Berlin
TeamViewer;Data Scientist;3.2;61000;66000;63000;EUR;yearly;Berlin
